Pais,edad,promedio
Albania,15-24 years,71.06
Albania,25-34 years,73.21
Albania,35-54 years,60.99
Albania,5-14 years,8.11
Albania,55-74 years,51.76
Albania,75+ years,80.95
Antigua and Barbuda,15-24 years,0
Antigua and Barbuda,25-34 years,0
Antigua and Barbuda,35-54 years,21.94
Antigua and Barbuda,5-14 years,0
Antigua and Barbuda,55-74 years,39.64
Antigua and Barbuda,75+ years,0
Argentina,15-24 years,203.95
Argentina,25-34 years,164.19
Argentina,35-54 years,158.25
Argentina,5-14 years,14.92
Argentina,55-74 years,215.23
Argentina,75+ years,296.93
Armenia,15-24 years,17.99
Armenia,25-34 years,29.75
Armenia,35-54 years,47.37
Armenia,5-14 years,4.24
Armenia,55-74 years,73.65
Armenia,75+ years,101.7
Aruba,15-24 years,56.99
Aruba,25-34 years,149.83
Aruba,35-54 years,125.9
Aruba,5-14 years,0
Aruba,55-74 years,130.53
Aruba,75+ years,156.92
Australia,15-24 years,217.09
Australia,25-34 years,304.69
Australia,35-54 years,296.24
Australia,5-14 years,8.02
Australia,55-74 years,218.09
Australia,75+ years,243.55
Austria,15-24 years,205
Austria,25-34 years,248.67
Austria,35-54 years,373.3
Austria,5-14 years,8.13
Austria,55-74 years,476.54
Austria,75+ years,806.05
Azerbaijan,15-24 years,11.61
Azerbaijan,25-34 years,15
Azerbaijan,35-54 years,20.07
Azerbaijan,5-14 years,3.31
Azerbaijan,55-74 years,25.03
Azerbaijan,75+ years,26.38
Bahamas,15-24 years,26.84
Bahamas,25-34 years,32.96
Bahamas,35-54 years,40.4
Bahamas,5-14 years,3.52
Bahamas,55-74 years,13.67
Bahamas,75+ years,11.28
Bahrain,15-24 years,34.43
Bahrain,25-34 years,93.2
Bahrain,35-54 years,62
Bahrain,5-14 years,2.7
Bahrain,55-74 years,29.36
Bahrain,75+ years,0
Barbados,15-24 years,2.52
Barbados,25-34 years,14.39
Barbados,35-54 years,27.25
Barbados,5-14 years,0
Barbados,55-74 years,7.09
Barbados,75+ years,12.91
Belarus,15-24 years,288.89
Belarus,25-34 years,526.67
Belarus,35-54 years,644.03
Belarus,5-14 years,17.64
Belarus,55-74 years,587.2
Belarus,75+ years,497.66
Belgium,15-24 years,208.81
Belgium,25-34 years,348.61
Belgium,35-54 years,524.66
Belgium,5-14 years,10.48
Belgium,55-74 years,458.54
Belgium,75+ years,560.62
Belize,15-24 years,146.75
Belize,25-34 years,159.9
Belize,35-54 years,171.32
Belize,5-14 years,12.59
Belize,55-74 years,139.23
Belize,75+ years,129.6
Bosnia and Herzegovina,15-24 years,1.52
Bosnia and Herzegovina,25-34 years,4.72
Bosnia and Herzegovina,35-54 years,11.57
Bosnia and Herzegovina,5-14 years,0.22
Bosnia and Herzegovina,55-74 years,12.69
Bosnia and Herzegovina,75+ years,21.43
Brazil,15-24 years,88.19
Brazil,25-34 years,115.94
Brazil,35-54 years,127.49
Brazil,5-14 years,6.1
Brazil,55-74 years,133
Brazil,75+ years,167.95
Bulgaria,15-24 years,122.26
Bulgaria,25-34 years,161.8
Bulgaria,35-54 years,269.85
Bulgaria,5-14 years,14.08
Bulgaria,55-74 years,393.62
Bulgaria,75+ years,847.21
Cabo Verde,15-24 years,5.29
Cabo Verde,25-34 years,9.82
Cabo Verde,35-54 years,20.8
Cabo Verde,5-14 years,2.63
