anio,Pais,edad,promedio
1996,Albania,05-14 years,0.41
1996,Albania,15-24 years,6.21
1996,Albania,25-34 years,4.77
1996,Albania,35-54 years,2.83
1996,Albania,55-74 years,1.1
1996,Albania,75+ years,6.01
1996,Argentina,05-14 years,0.35
1996,Argentina,15-24 years,6.1
1996,Argentina,25-34 years,5.71
1996,Argentina,35-54 years,8.9
1996,Argentina,55-74 years,12.17
1996,Argentina,75+ years,20.46
1996,Armenia,05-14 years,0.26
1996,Armenia,15-24 years,0.79
1996,Armenia,25-34 years,2.73
1996,Armenia,35-54 years,3.52
1996,Armenia,55-74 years,5.47
1996,Armenia,75+ years,3.8
1996,Australia,05-14 years,0.57
1996,Australia,15-24 years,15.88
1996,Australia,25-34 years,19.88
1996,Australia,35-54 years,16.62
1996,Australia,55-74 years,14.68
1996,Australia,75+ years,16.5
1996,Austria,05-14 years,0.42
1996,Austria,15-24 years,12.21
1996,Austria,25-34 years,18.7
1996,Austria,35-54 years,27.51
1996,Austria,55-74 years,32.9
1996,Austria,75+ years,59.62
1996,Azerbaijan,05-14 years,0
1996,Azerbaijan,15-24 years,0.93
1996,Azerbaijan,25-34 years,1.14
1996,Azerbaijan,35-54 years,1.18
1996,Azerbaijan,55-74 years,2.47
1996,Azerbaijan,75+ years,3.04
1996,Bahamas,05-14 years,0
1996,Bahamas,15-24 years,0
1996,Bahamas,25-34 years,0
1996,Bahamas,35-54 years,4.74
1996,Bahamas,55-74 years,0
1996,Bahamas,75+ years,0
1996,Belarus,05-14 years,0.99
1996,Belarus,15-24 years,18.03
1996,Belarus,25-34 years,39.4
1996,Belarus,35-54 years,58.18
1996,Belarus,55-74 years,52.73
1996,Belarus,75+ years,33.08
1996,Belgium,05-14 years,0.41
1996,Belgium,15-24 years,13.79
1996,Belgium,25-34 years,20.42
1996,Belgium,35-54 years,27.32
1996,Belgium,55-74 years,24.75
1996,Belgium,75+ years,36.61
1996,Belize,05-14 years,0
1996,Belize,15-24 years,7.06
1996,Belize,25-34 years,3.21
1996,Belize,35-54 years,6.16
1996,Belize,55-74 years,14.44
1996,Belize,75+ years,0
1996,Brazil,05-14 years,0.33
1996,Brazil,15-24 years,4.7
1996,Brazil,25-34 years,5.71
1996,Brazil,35-54 years,6.48
1996,Brazil,55-74 years,6.92
1996,Brazil,75+ years,9.96
1996,Bulgaria,05-14 years,1.32
1996,Bulgaria,15-24 years,9.79
1996,Bulgaria,25-34 years,10.93
1996,Bulgaria,35-54 years,20.31
1996,Bulgaria,55-74 years,27.93
1996,Bulgaria,75+ years,69.72
1996,Canada,05-14 years,1.02
1996,Canada,15-24 years,14.44
1996,Canada,25-34 years,16.16
1996,Canada,35-54 years,19.42
1996,Canada,55-74 years,14.04
1996,Canada,75+ years,13.07
1996,Chile,05-14 years,0.4
1996,Chile,15-24 years,8.01
1996,Chile,25-34 years,7.93
1996,Chile,35-54 years,8.75
1996,Chile,55-74 years,11.36
1996,Chile,75+ years,8.14
1996,Colombia,05-14 years,0.45
1996,Colombia,15-24 years,5.57
1996,Colombia,25-34 years,4.29
1996,Colombia,35-54 years,3.9
1996,Colombia,55-74 years,4.88
1996,Colombia,75+ years,5.99
1996,Costa Rica,05-14 years,0.38
1996,Costa Rica,15-24 years,9.16
1996,Costa Rica,25-34 years,11.02
1996,Costa Rica,35-54 years,6.76
1996,Costa Rica,55-74 years,6.54
1996,Costa Rica,75+ years,11.73
1996,Croatia,05-14 years,1.29
1996,Croatia,15-24 years,16.04
1996,Croatia,25-34 years,16.46
1996,Croatia,35-54 years,24.17
1996,Croatia,55-74 years,42.39
1996,Croatia,75+ years,51.71
1996,Cuba,05-14 years,0.54
1996,Cuba,15-24 years,13.68
1996,Cuba,25-34 years,16.53
1996,Cuba,35-54 years,22.46
1996,Cuba,55-74 years,34.36
1996,Cuba,75+ years,67.97
1996,Czech Republic,05-14 years,0.68
1996,Czech Republic,15-24 years,9.71
1996,Czech Republic,25-34 years,13.55
1996,Czech Republic,35-54 years,20.3
1996,Czech Republic,55-74 years,20.31
1996,Czech Republic,75+ years,44.77
1996,Denmark,05-14 years,0.17
1996,Denmark,15-24 years,7.89
1996,Denmark,25-34 years,12.69
1996,Denmark,35-54 years,23.1
1996,Denmark,55-74 years,25.34
1996,Denmark,75+ years,38.55
1996,Ecuador,05-14 years,0.88
1996,Ecuador,15-24 years,9.85
1996,Ecuador,25-34 years,8.5
1996,Ecuador,35-54 years,4.96
1996,Ecuador,55-74 years,6.91
1996,Ecuador,75+ years,6.4
1996,El Salvador,05-14 years,0.67
1996,El Salvador,15-24 years,21.9
1996,El Salvador,25-34 years,16.22
1996,El Salvador,35-54 years,9.89
1996,El Salvador,55-74 years,9.24
1996,El Salvador,75+ years,10.79
1996,Estonia,05-14 years,1.88
1996,Estonia,15-24 years,22.99
1996,Estonia,25-34 years,28.92
1996,Estonia,35-54 years,68.28
1996,Estonia,55-74 years,45.93
1996,Estonia,75+ years,68.66
1996,Finland,05-14 years,0.93
1996,Finland,15-24 years,20.66
1996,Finland,25-34 years,31.54
1996,Finland,35-54 years,36.36
1996,Finland,55-74 years,27.54
1996,Finland,75+ years,19.42
1996,France,05-14 years,0.26
1996,France,15-24 years,8.61
1996,France,25-34 years,19.47
1996,France,35-54 years,26.91
1996,France,55-74 years,26.02
1996,France,75+ years,43.65
1996,Georgia,05-14 years,0.14
1996,Georgia,15-24 years,1.81
1996,Georgia,25-34 years,3.63
1996,Georgia,35-54 years,4.1
1996,Georgia,55-74 years,6.73
1996,Georgia,75+ years,11.12
1996,Germany,05-14 years,0.53
1996,Germany,15-24 years,8.2
1996,Germany,25-34 years,12.96
1996,Germany,35-54 years,17.71
1996,Germany,55-74 years,20.58
1996,Germany,75+ years,36.68
1996,Greece,05-14 years,0
1996,Greece,15-24 years,1.69
1996,Greece,25-34 years,4.36
1996,Greece,35-54 years,3.63
1996,Greece,55-74 years,4.92
1996,Greece,75+ years,7.25
1996,Grenada,05-14 years,0
1996,Grenada,15-24 years,0
1996,Grenada,25-34 years,0
1996,Grenada,35-54 years,5.92
1996,Grenada,55-74 years,0
1996,Grenada,75+ years,0
1996,Guatemala,05-14 years,0.1
1996,Guatemala,15-24 years,1.93
1996,Guatemala,25-34 years,3.58
1996,Guatemala,35-54 years,2.69
1996,Guatemala,55-74 years,2.64
1996,Guatemala,75+ years,3.39
1996,Guyana,05-14 years,0
1996,Guyana,15-24 years,11.77
1996,Guyana,25-34 years,14.93
1996,Guyana,35-54 years,9.69
1996,Guyana,55-74 years,14.89
1996,Guyana,75+ years,10.6
1996,Hungary,05-14 years,0.24
1996,Hungary,15-24 years,10.94
1996,Hungary,25-34 years,22.88
1996,Hungary,35-54 years,48.58
1996,Hungary,55-74 years,50.66
1996,Hungary,75+ years,89.93
1996,Iceland,05-14 years,2.34
1996,Iceland,15-24 years,11.85
1996,Iceland,25-34 years,22
1996,Iceland,35-54 years,14.29
1996,Iceland,55-74 years,13.26
1996,Iceland,75+ years,23.08
1996,Ireland,05-14 years,0.66
1996,Ireland,15-24 years,15.17
1996,Ireland,25-34 years,20
1996,Ireland,35-54 years,14.87
1996,Ireland,55-74 years,9.79
1996,Ireland,75+ years,9.74
1996,Israel,05-14 years,0.28
1996,Israel,15-24 years,5.28
1996,Israel,25-34 years,5.99
1996,Israel,35-54 years,6.07
1996,Israel,55-74 years,9.15
1996,Israel,75+ years,26.01
1996,Italy,05-14 years,0.32
1996,Italy,15-24 years,4.8
1996,Italy,25-34 years,7.16
1996,Italy,35-54 years,8.65
1996,Italy,55-74 years,12.44
1996,Italy,75+ years,19.86
1996,Japan,05-14 years,0.47
1996,Japan,15-24 years,8.45
1996,Japan,25-34 years,14.06
1996,Japan,35-54 years,21.48
1996,Japan,55-74 years,27.18
1996,Japan,75+ years,39.66
1996,Kazakhstan,05-14 years,2.02
1996,Kazakhstan,15-24 years,28.45
1996,Kazakhstan,25-34 years,41.14
1996,Kazakhstan,35-54 years,51.3
1996,Kazakhstan,55-74 years,46.87
1996,Kazakhstan,75+ years,35.52
1996,Kiribati,05-14 years,9.72
1996,Kiribati,15-24 years,14.83
1996,Kiribati,25-34 years,7.88
1996,Kiribati,35-54 years,7.03
1996,Kiribati,55-74 years,0
1996,Kiribati,75+ years,0
1996,Kuwait,05-14 years,0
1996,Kuwait,15-24 years,1.49
1996,Kuwait,25-34 years,4.02
1996,Kuwait,35-54 years,1.34
1996,Kuwait,55-74 years,2.88
1996,Kuwait,75+ years,0
1996,Kyrgyzstan,05-14 years,0.79
1996,Kyrgyzstan,15-24 years,10.48
1996,Kyrgyzstan,25-34 years,15.56
1996,Kyrgyzstan,35-54 years,19.76
1996,Kyrgyzstan,55-74 years,22.21
1996,Kyrgyzstan,75+ years,28.29
1996,Latvia,05-14 years,1.07
1996,Latvia,15-24 years,21.58
1996,Latvia,25-34 years,37.51
1996,Latvia,35-54 years,57.5
1996,Latvia,55-74 years,53.36
1996,Latvia,75+ years,46.3
1996,Lithuania,05-14 years,1.09
1996,Lithuania,15-24 years,32.78
1996,Lithuania,25-34 years,40.56
1996,Lithuania,35-54 years,85.92
1996,Lithuania,55-74 years,66.12
1996,Lithuania,75+ years,49.93
1996,Luxembourg,05-14 years,0
1996,Luxembourg,15-24 years,10.37
1996,Luxembourg,25-34 years,10.04
1996,Luxembourg,35-54 years,26.87
1996,Luxembourg,55-74 years,26.99
1996,Luxembourg,75+ years,29.41
1996,Malta,05-14 years,0
1996,Malta,15-24 years,5.4
1996,Malta,25-34 years,8.08
1996,Malta,35-54 years,0.91
1996,Malta,55-74 years,1.64
1996,Malta,75+ years,6.21
1996,Mauritius,05-14 years,1.05
1996,Mauritius,15-24 years,17.24
1996,Mauritius,25-34 years,23.01
1996,Mauritius,35-54 years,17.4
1996,Mauritius,55-74 years,20.24
1996,Mauritius,75+ years,4.83
1996,Mexico,05-14 years,0.4
1996,Mexico,15-24 years,4.74
1996,Mexico,25-34 years,4.89
1996,Mexico,35-54 years,4.4
1996,Mexico,55-74 years,4.73
1996,Mexico,75+ years,7.27
1996,Netherlands,05-14 years,0.27
1996,Netherlands,15-24 years,6.22
1996,Netherlands,25-34 years,12.05
1996,Netherlands,35-54 years,13.54
1996,Netherlands,55-74 years,13.32
1996,Netherlands,75+ years,18.64
1996,New Zealand,05-14 years,1.24
1996,New Zealand,15-24 years,25.95
1996,New Zealand,25-34 years,24.25
1996,New Zealand,35-54 years,14.28
1996,New Zealand,55-74 years,14.66
1996,New Zealand,75+ years,13.39
1996,Norway,05-14 years,1.62
1996,Norway,15-24 years,13.53
1996,Norway,25-34 years,15.08
1996,Norway,35-54 years,14.13
1996,Norway,55-74 years,15.11
1996,Norway,75+ years,14.16
1996,Panama,05-14 years,0.16
1996,Panama,15-24 years,5.03
1996,Panama,25-34 years,7.14
1996,Panama,35-54 years,5.94
1996,Panama,55-74 years,5.52
1996,Panama,75+ years,8.96
1996,Paraguay,05-14 years,0.24
1996,Paraguay,15-24 years,3.67
1996,Paraguay,25-34 years,3.14
1996,Paraguay,35-54 years,2.87
1996,Paraguay,55-74 years,3.67
1996,Paraguay,75+ years,2.72
1996,Poland,05-14 years,1.03
1996,Poland,15-24 years,10.19
1996,Poland,25-34 years,13.79
1996,Poland,35-54 years,23.02
1996,Poland,55-74 years,20.67
1996,Poland,75+ years,14.38
1996,Portugal,05-14 years,0.08
1996,Portugal,15-24 years,2.9
1996,Portugal,25-34 years,4.35
1996,Portugal,35-54 years,5.54
1996,Portugal,55-74 years,11.47
1996,Portugal,75+ years,27.19
1996,Puerto Rico,05-14 years,0.16
1996,Puerto Rico,15-24 years,6.81
1996,Puerto Rico,25-34 years,12.76
1996,Puerto Rico,35-54 years,13.29
1996,Puerto Rico,55-74 years,11.53
1996,Puerto Rico,75+ years,20.69
1996,Republic of Korea,05-14 years,1.15
1996,Republic of Korea,15-24 years,11.79
1996,Republic of Korea,25-34 years,14.49
1996,Republic of Korea,35-54 years,17
1996,Republic of Korea,55-74 years,21.03
1996,Republic of Korea,75+ years,35.28
1996,Romania,05-14 years,0.52
1996,Romania,15-24 years,7.14
1996,Romania,25-34 years,10.68
1996,Romania,35-54 years,21.31
1996,Romania,55-74 years,18.24
1996,Romania,75+ years,17.62
1996,Russian Federation,05-14 years,1.73
1996,Russian Federation,15-24 years,31.58
1996,Russian Federation,25-34 years,50.43
1996,Russian Federation,35-54 years,58.6
1996,Russian Federation,55-74 years,48.36
1996,Russian Federation,75+ years,46.51
1996,Saint Lucia,05-14 years,0
1996,Saint Lucia,15-24 years,7.29
1996,Saint Lucia,25-34 years,8.44
1996,Saint Lucia,35-54 years,7.48
1996,Saint Lucia,55-74 years,6.97
1996,Saint Lucia,75+ years,0
1996,Saint Vincent and Grenadines,05-14 years,0
1996,Saint Vincent and Grenadines,15-24 years,4.48
1996,Saint Vincent and Grenadines,25-34 years,22.79
1996,Saint Vincent and Grenadines,35-54 years,16.05
1996,Saint Vincent and Grenadines,55-74 years,0
1996,Saint Vincent and Grenadines,75+ years,0
1996,Singapore,05-14 years,0.89
1996,Singapore,15-24 years,5.99
1996,Singapore,25-34 years,8.91
1996,Singapore,35-54 years,7.54
1996,Singapore,55-74 years,11.36
1996,Singapore,75+ years,65.83
1996,Slovakia,05-14 years,1.19
1996,Slovakia,15-24 years,7.31
1996,Slovakia,25-34 years,12.91
1996,Slovakia,35-54 years,19.96
1996,Slovakia,55-74 years,19.48
1996,Slovakia,75+ years,19.31
1996,Slovenia,05-14 years,1.56
1996,Slovenia,15-24 years,14.1
1996,Slovenia,25-34 years,25.89
1996,Slovenia,35-54 years,40.75
1996,Slovenia,55-74 years,53.62
1996,Slovenia,75+ years,53.55
1996,South Africa,05-14 years,0.02
1996,South Africa,15-24 years,0.45
1996,South Africa,25-34 years,0.49
1996,South Africa,35-54 years,0.53
1996,South Africa,55-74 years,0.55
1996,South Africa,75+ years,1.44
1996,Spain,05-14 years,0.29
1996,Spain,15-24 years,5.48
1996,Spain,25-34 years,8.1
1996,Spain,35-54 years,8.64
1996,Spain,55-74 years,13.18
1996,Spain,75+ years,22.61
1996,Sri Lanka,05-14 years,1.75
1996,Sri Lanka,15-24 years,36.24
1996,Sri Lanka,25-34 years,39.53
1996,Sri Lanka,35-54 years,34.01
1996,Sri Lanka,55-74 years,39.79
1996,Sri Lanka,75+ years,45.38
1996,Suriname,05-14 years,1.02
1996,Suriname,15-24 years,4.99
1996,Suriname,25-34 years,7.59
1996,Suriname,35-54 years,7.91
1996,Suriname,55-74 years,4.69
1996,Suriname,75+ years,13.57
1996,Sweden,05-14 years,0.27
1996,Sweden,15-24 years,8.35
1996,Sweden,25-34 years,14.83
1996,Sweden,35-54 years,19.38
1996,Sweden,55-74 years,19.37
1996,Sweden,75+ years,24.04
1996,Switzerland,05-14 years,0.48
1996,Switzerland,15-24 years,15.29
1996,Switzerland,25-34 years,17.53
1996,Switzerland,35-54 years,24.63
1996,Switzerland,55-74 years,29.56
1996,Switzerland,75+ years,43.52
1996,Thailand,05-14 years,0
1996,Thailand,15-24 years,11.45
1996,Thailand,25-34 years,12.67
1996,Thailand,35-54 years,8.43
1996,Thailand,55-74 years,7.42
1996,Thailand,75+ years,5.77
1996,Trinidad and Tobago,05-14 years,0.73
1996,Trinidad and Tobago,15-24 years,13.3
1996,Trinidad and Tobago,25-34 years,17.53
1996,Trinidad and Tobago,35-54 years,16.23
1996,Trinidad and Tobago,55-74 years,17.55
1996,Trinidad and Tobago,75+ years,27.65
1996,Turkmenistan,05-14 years,1.1
1996,Turkmenistan,15-24 years,10.54
1996,Turkmenistan,25-34 years,8.59
1996,Turkmenistan,35-54 years,9.29
1996,Turkmenistan,55-74 years,12.22
1996,Turkmenistan,75+ years,10.16
1996,Ukraine,05-14 years,1.19
1996,Ukraine,15-24 years,16.23
1996,Ukraine,25-34 years,30.44
1996,Ukraine,35-54 years,45.16
1996,Ukraine,55-74 years,44.71
1996,Ukraine,75+ years,38.96
1996,United Kingdom,05-14 years,0.08
1996,United Kingdom,15-24 years,6.16
1996,United Kingdom,25-34 years,11.15
1996,United Kingdom,35-54 years,9.81
1996,United Kingdom,55-74 years,7.11
1996,United Kingdom,75+ years,8.38
1996,United States,05-14 years,0.79
1996,United States,15-24 years,12.03
1996,United States,25-34 years,14.52
1996,United States,35-54 years,15.28
1996,United States,55-74 years,14.32
1996,United States,75+ years,20.07
1996,Uruguay,05-14 years,0.95
1996,Uruguay,15-24 years,10.67
1996,Uruguay,25-34 years,13.34
1996,Uruguay,35-54 years,14.37
1996,Uruguay,55-74 years,22.48
1996,Uruguay,75+ years,25.13
1996,Uzbekistan,05-14 years,0.82
1996,Uzbekistan,15-24 years,8.27
1996,Uzbekistan,25-34 years,12.34
1996,Uzbekistan,35-54 years,15.12
1996,Uzbekistan,55-74 years,14.05
1996,Uzbekistan,75+ years,10.27
1997,Albania,05-14 years,1.35
1997,Albania,15-24 years,10.03
1997,Albania,25-34 years,10.2
1997,Albania,35-54 years,4.93
1997,Albania,55-74 years,3.27
1997,Albania,75+ years,7.41
1997,Argentina,05-14 years,0.44
1997,Argentina,15-24 years,5.87
1997,Argentina,25-34 years,5.78
1997,Argentina,35-54 years,8.31
1997,Argentina,55-74 years,11.95
1997,Argentina,75+ years,18
1997,Armenia,05-14 years,0.13
1997,Armenia,15-24 years,0.62
1997,Armenia,25-34 years,1.74
1997,Armenia,35-54 years,3.17
1997,Armenia,55-74 years,5.27
1997,Armenia,75+ years,5.01
1997,Australia,05-14 years,0.53
1997,Australia,15-24 years,18.74
1997,Australia,25-34 years,22.16
1997,Australia,35-54 years,17.84
1997,Australia,55-74 years,13.92
1997,Australia,75+ years,17.19
1997,Austria,05-14 years,0.32
1997,Austria,15-24 years,14.88
1997,Austria,25-34 years,18.51
1997,Austria,35-54 years,23.4
1997,Austria,55-74 years,28.57
1997,Austria,75+ years,46.54
1997,Azerbaijan,05-14 years,0
1997,Azerbaijan,15-24 years,1
1997,Azerbaijan,25-34 years,1.89
1997,Azerbaijan,35-54 years,2.89
1997,Azerbaijan,55-74 years,3.15
1997,Azerbaijan,75+ years,0
1997,Bahamas,05-14 years,0
1997,Bahamas,15-24 years,0
1997,Bahamas,25-34 years,1.99
1997,Bahamas,35-54 years,1.51
1997,Bahamas,55-74 years,0
1997,Bahamas,75+ years,0
1997,Bahrain,05-14 years,0
1997,Bahrain,15-24 years,0
1997,Bahrain,25-34 years,0
1997,Bahrain,35-54 years,0
1997,Bahrain,55-74 years,0
1997,Bahrain,75+ years,0
1997,Belarus,05-14 years,0.63
1997,Belarus,15-24 years,19.87
1997,Belarus,25-34 years,39.14
1997,Belarus,35-54 years,55.22
1997,Belarus,55-74 years,49.8
1997,Belarus,75+ years,33.54
1997,Belgium,05-14 years,0.49
1997,Belgium,15-24 years,12.44
1997,Belgium,25-34 years,22.99
1997,Belgium,35-54 years,29.83
1997,Belgium,55-74 years,25.25
1997,Belgium,75+ years,39.7
1997,Belize,05-14 years,0
1997,Belize,15-24 years,0
1997,Belize,25-34 years,0
1997,Belize,35-54 years,2.93
1997,Belize,55-74 years,0
1997,Belize,75+ years,0
1997,Brazil,05-14 years,0.3
1997,Brazil,15-24 years,4.35
1997,Brazil,25-34 years,5.9
