anio,Pais,edad,promedio
1996,Albania,05-14 anios,0.41
1996,Albania,15-24 anios,6.21
1996,Albania,25-34 anios,4.77
1996,Albania,35-54 anios,2.83
1996,Albania,55-74 anios,1.1
1996,Albania,75+ anios,6.01
1996,Argentina,05-14 anios,0.35
1996,Argentina,15-24 anios,6.1
1996,Argentina,25-34 anios,5.71
1996,Argentina,35-54 anios,8.9
1996,Argentina,55-74 anios,12.17
1996,Argentina,75+ anios,20.46
1996,Armenia,05-14 anios,0.26
1996,Armenia,15-24 anios,0.79
1996,Armenia,25-34 anios,2.73
1996,Armenia,35-54 anios,3.52
1996,Armenia,55-74 anios,5.47
1996,Armenia,75+ anios,3.8
1996,Australia,05-14 anios,0.57
1996,Australia,15-24 anios,15.88
1996,Australia,25-34 anios,19.88
1996,Australia,35-54 anios,16.62
1996,Australia,55-74 anios,14.68
1996,Australia,75+ anios,16.5
1996,Austria,05-14 anios,0.42
1996,Austria,15-24 anios,12.21
1996,Austria,25-34 anios,18.7
1996,Austria,35-54 anios,27.51
1996,Austria,55-74 anios,32.9
1996,Austria,75+ anios,59.62
1996,Azerbaijan,05-14 anios,0
1996,Azerbaijan,15-24 anios,0.93
1996,Azerbaijan,25-34 anios,1.14
1996,Azerbaijan,35-54 anios,1.18
1996,Azerbaijan,55-74 anios,2.47
1996,Azerbaijan,75+ anios,3.04
1996,Bahamas,05-14 anios,0
1996,Bahamas,15-24 anios,0
1996,Bahamas,25-34 anios,0
1996,Bahamas,35-54 anios,4.74
1996,Bahamas,55-74 anios,0
1996,Bahamas,75+ anios,0
1996,Belarus,05-14 anios,0.99
1996,Belarus,15-24 anios,18.03
1996,Belarus,25-34 anios,39.4
1996,Belarus,35-54 anios,58.18
1996,Belarus,55-74 anios,52.73
1996,Belarus,75+ anios,33.08
1996,Belgium,05-14 anios,0.41
1996,Belgium,15-24 anios,13.79
1996,Belgium,25-34 anios,20.42
1996,Belgium,35-54 anios,27.32
1996,Belgium,55-74 anios,24.75
1996,Belgium,75+ anios,36.61
1996,Belize,05-14 anios,0
1996,Belize,15-24 anios,7.06
1996,Belize,25-34 anios,3.21
1996,Belize,35-54 anios,6.16
1996,Belize,55-74 anios,14.44
1996,Belize,75+ anios,0
1996,Brazil,05-14 anios,0.33
1996,Brazil,15-24 anios,4.7
1996,Brazil,25-34 anios,5.71
1996,Brazil,35-54 anios,6.48
1996,Brazil,55-74 anios,6.92
1996,Brazil,75+ anios,9.96
1996,Bulgaria,05-14 anios,1.32
1996,Bulgaria,15-24 anios,9.79
1996,Bulgaria,25-34 anios,10.93
1996,Bulgaria,35-54 anios,20.31
1996,Bulgaria,55-74 anios,27.93
1996,Bulgaria,75+ anios,69.72
1996,Canada,05-14 anios,1.02
1996,Canada,15-24 anios,14.44
1996,Canada,25-34 anios,16.16
1996,Canada,35-54 anios,19.42
1996,Canada,55-74 anios,14.04
1996,Canada,75+ anios,13.07
1996,Chile,05-14 anios,0.4
1996,Chile,15-24 anios,8.01
1996,Chile,25-34 anios,7.93
1996,Chile,35-54 anios,8.75
1996,Chile,55-74 anios,11.36
1996,Chile,75+ anios,8.14
1996,Colombia,05-14 anios,0.45
1996,Colombia,15-24 anios,5.57
1996,Colombia,25-34 anios,4.29
1996,Colombia,35-54 anios,3.9
1996,Colombia,55-74 anios,4.88
1996,Colombia,75+ anios,5.99
1996,Costa Rica,05-14 anios,0.38
1996,Costa Rica,15-24 anios,9.16
1996,Costa Rica,25-34 anios,11.02
1996,Costa Rica,35-54 anios,6.76
1996,Costa Rica,55-74 anios,6.54
1996,Costa Rica,75+ anios,11.73
1996,Croatia,05-14 anios,1.29
1996,Croatia,15-24 anios,16.04
1996,Croatia,25-34 anios,16.46
1996,Croatia,35-54 anios,24.17
1996,Croatia,55-74 anios,42.39
1996,Croatia,75+ anios,51.71
1996,Cuba,05-14 anios,0.54
1996,Cuba,15-24 anios,13.68
1996,Cuba,25-34 anios,16.53
1996,Cuba,35-54 anios,22.46
1996,Cuba,55-74 anios,34.36
1996,Cuba,75+ anios,67.97
1996,Czech Republic,05-14 anios,0.68
1996,Czech Republic,15-24 anios,9.71
1996,Czech Republic,25-34 anios,13.55
1996,Czech Republic,35-54 anios,20.3
1996,Czech Republic,55-74 anios,20.31
1996,Czech Republic,75+ anios,44.77
1996,Denmark,05-14 anios,0.17
1996,Denmark,15-24 anios,7.89
1996,Denmark,25-34 anios,12.69
1996,Denmark,35-54 anios,23.1
1996,Denmark,55-74 anios,25.34
1996,Denmark,75+ anios,38.55
1996,Ecuador,05-14 anios,0.88
1996,Ecuador,15-24 anios,9.85
1996,Ecuador,25-34 anios,8.5
1996,Ecuador,35-54 anios,4.96
1996,Ecuador,55-74 anios,6.91
1996,Ecuador,75+ anios,6.4
1996,El Salvador,05-14 anios,0.67
1996,El Salvador,15-24 anios,21.9
1996,El Salvador,25-34 anios,16.22
1996,El Salvador,35-54 anios,9.89
1996,El Salvador,55-74 anios,9.24
1996,El Salvador,75+ anios,10.79
1996,Estonia,05-14 anios,1.88
1996,Estonia,15-24 anios,22.99
1996,Estonia,25-34 anios,28.92
1996,Estonia,35-54 anios,68.28
1996,Estonia,55-74 anios,45.93
1996,Estonia,75+ anios,68.66
1996,Finland,05-14 anios,0.93
1996,Finland,15-24 anios,20.66
1996,Finland,25-34 anios,31.54
1996,Finland,35-54 anios,36.36
1996,Finland,55-74 anios,27.54
1996,Finland,75+ anios,19.42
1996,France,05-14 anios,0.26
1996,France,15-24 anios,8.61
1996,France,25-34 anios,19.47
1996,France,35-54 anios,26.91
1996,France,55-74 anios,26.02
1996,France,75+ anios,43.65
1996,Georgia,05-14 anios,0.14
1996,Georgia,15-24 anios,1.81
1996,Georgia,25-34 anios,3.63
1996,Georgia,35-54 anios,4.1
1996,Georgia,55-74 anios,6.73
1996,Georgia,75+ anios,11.12
1996,Germany,05-14 anios,0.53
1996,Germany,15-24 anios,8.2
1996,Germany,25-34 anios,12.96
1996,Germany,35-54 anios,17.71
1996,Germany,55-74 anios,20.58
1996,Germany,75+ anios,36.68
1996,Greece,05-14 anios,0
1996,Greece,15-24 anios,1.69
1996,Greece,25-34 anios,4.36
1996,Greece,35-54 anios,3.63
1996,Greece,55-74 anios,4.92
1996,Greece,75+ anios,7.25
1996,Grenada,05-14 anios,0
1996,Grenada,15-24 anios,0
1996,Grenada,25-34 anios,0
1996,Grenada,35-54 anios,5.92
1996,Grenada,55-74 anios,0
1996,Grenada,75+ anios,0
1996,Guatemala,05-14 anios,0.1
1996,Guatemala,15-24 anios,1.93
1996,Guatemala,25-34 anios,3.58
1996,Guatemala,35-54 anios,2.69
1996,Guatemala,55-74 anios,2.64
1996,Guatemala,75+ anios,3.39
1996,Guyana,05-14 anios,0
1996,Guyana,15-24 anios,11.77
1996,Guyana,25-34 anios,14.93
1996,Guyana,35-54 anios,9.69
1996,Guyana,55-74 anios,14.89
1996,Guyana,75+ anios,10.6
1996,Hungary,05-14 anios,0.24
1996,Hungary,15-24 anios,10.94
1996,Hungary,25-34 anios,22.88
1996,Hungary,35-54 anios,48.58
1996,Hungary,55-74 anios,50.66
1996,Hungary,75+ anios,89.93
1996,Iceland,05-14 anios,2.34
1996,Iceland,15-24 anios,11.85
1996,Iceland,25-34 anios,22
1996,Iceland,35-54 anios,14.29
1996,Iceland,55-74 anios,13.26
1996,Iceland,75+ anios,23.08
1996,Ireland,05-14 anios,0.66
1996,Ireland,15-24 anios,15.17
1996,Ireland,25-34 anios,20
1996,Ireland,35-54 anios,14.87
1996,Ireland,55-74 anios,9.79
1996,Ireland,75+ anios,9.74
1996,Israel,05-14 anios,0.28
1996,Israel,15-24 anios,5.28
1996,Israel,25-34 anios,5.99
1996,Israel,35-54 anios,6.07
1996,Israel,55-74 anios,9.15
1996,Israel,75+ anios,26.01
1996,Italy,05-14 anios,0.32
1996,Italy,15-24 anios,4.8
1996,Italy,25-34 anios,7.16
1996,Italy,35-54 anios,8.65
1996,Italy,55-74 anios,12.44
1996,Italy,75+ anios,19.86
1996,Japan,05-14 anios,0.47
1996,Japan,15-24 anios,8.45
1996,Japan,25-34 anios,14.06
1996,Japan,35-54 anios,21.48
1996,Japan,55-74 anios,27.18
1996,Japan,75+ anios,39.66
1996,Kazakhstan,05-14 anios,2.02
1996,Kazakhstan,15-24 anios,28.45
1996,Kazakhstan,25-34 anios,41.14
1996,Kazakhstan,35-54 anios,51.3
1996,Kazakhstan,55-74 anios,46.87
1996,Kazakhstan,75+ anios,35.52
1996,Kiribati,05-14 anios,9.72
1996,Kiribati,15-24 anios,14.83
1996,Kiribati,25-34 anios,7.88
1996,Kiribati,35-54 anios,7.03
1996,Kiribati,55-74 anios,0
1996,Kiribati,75+ anios,0
1996,Kuwait,05-14 anios,0
1996,Kuwait,15-24 anios,1.49
1996,Kuwait,25-34 anios,4.02
1996,Kuwait,35-54 anios,1.34
1996,Kuwait,55-74 anios,2.88
1996,Kuwait,75+ anios,0
1996,Kyrgyzstan,05-14 anios,0.79
1996,Kyrgyzstan,15-24 anios,10.48
1996,Kyrgyzstan,25-34 anios,15.56
1996,Kyrgyzstan,35-54 anios,19.76
1996,Kyrgyzstan,55-74 anios,22.21
1996,Kyrgyzstan,75+ anios,28.29
1996,Latvia,05-14 anios,1.07
1996,Latvia,15-24 anios,21.58
1996,Latvia,25-34 anios,37.51
1996,Latvia,35-54 anios,57.5
1996,Latvia,55-74 anios,53.36
1996,Latvia,75+ anios,46.3
1996,Lithuania,05-14 anios,1.09
1996,Lithuania,15-24 anios,32.78
1996,Lithuania,25-34 anios,40.56
1996,Lithuania,35-54 anios,85.92
1996,Lithuania,55-74 anios,66.12
1996,Lithuania,75+ anios,49.93
1996,Luxembourg,05-14 anios,0
1996,Luxembourg,15-24 anios,10.37
1996,Luxembourg,25-34 anios,10.04
1996,Luxembourg,35-54 anios,26.87
1996,Luxembourg,55-74 anios,26.99
1996,Luxembourg,75+ anios,29.41
1996,Malta,05-14 anios,0
1996,Malta,15-24 anios,5.4
1996,Malta,25-34 anios,8.08
1996,Malta,35-54 anios,0.91
1996,Malta,55-74 anios,1.64
1996,Malta,75+ anios,6.21
1996,Mauritius,05-14 anios,1.05
1996,Mauritius,15-24 anios,17.24
1996,Mauritius,25-34 anios,23.01
1996,Mauritius,35-54 anios,17.4
1996,Mauritius,55-74 anios,20.24
1996,Mauritius,75+ anios,4.83
1996,Mexico,05-14 anios,0.4
1996,Mexico,15-24 anios,4.74
1996,Mexico,25-34 anios,4.89
1996,Mexico,35-54 anios,4.4
1996,Mexico,55-74 anios,4.73
1996,Mexico,75+ anios,7.27
1996,Netherlands,05-14 anios,0.27
1996,Netherlands,15-24 anios,6.22
1996,Netherlands,25-34 anios,12.05
1996,Netherlands,35-54 anios,13.54
1996,Netherlands,55-74 anios,13.32
1996,Netherlands,75+ anios,18.64
1996,New Zealand,05-14 anios,1.24
1996,New Zealand,15-24 anios,25.95
1996,New Zealand,25-34 anios,24.25
1996,New Zealand,35-54 anios,14.28
1996,New Zealand,55-74 anios,14.66
1996,New Zealand,75+ anios,13.39
1996,Norway,05-14 anios,1.62
1996,Norway,15-24 anios,13.53
1996,Norway,25-34 anios,15.08
1996,Norway,35-54 anios,14.13
1996,Norway,55-74 anios,15.11
1996,Norway,75+ anios,14.16
1996,Panama,05-14 anios,0.16
1996,Panama,15-24 anios,5.03
1996,Panama,25-34 anios,7.14
1996,Panama,35-54 anios,5.94
1996,Panama,55-74 anios,5.52
1996,Panama,75+ anios,8.96
1996,Paraguay,05-14 anios,0.24
1996,Paraguay,15-24 anios,3.67
1996,Paraguay,25-34 anios,3.14
1996,Paraguay,35-54 anios,2.87
1996,Paraguay,55-74 anios,3.67
1996,Paraguay,75+ anios,2.72
1996,Poland,05-14 anios,1.03
1996,Poland,15-24 anios,10.19
1996,Poland,25-34 anios,13.79
1996,Poland,35-54 anios,23.02
1996,Poland,55-74 anios,20.67
1996,Poland,75+ anios,14.38
1996,Portugal,05-14 anios,0.08
1996,Portugal,15-24 anios,2.9
1996,Portugal,25-34 anios,4.35
1996,Portugal,35-54 anios,5.54
1996,Portugal,55-74 anios,11.47
1996,Portugal,75+ anios,27.19
1996,Puerto Rico,05-14 anios,0.16
1996,Puerto Rico,15-24 anios,6.81
1996,Puerto Rico,25-34 anios,12.76
1996,Puerto Rico,35-54 anios,13.29
1996,Puerto Rico,55-74 anios,11.53
1996,Puerto Rico,75+ anios,20.69
1996,Republic of Korea,05-14 anios,1.15
1996,Republic of Korea,15-24 anios,11.79
1996,Republic of Korea,25-34 anios,14.49
1996,Republic of Korea,35-54 anios,17
1996,Republic of Korea,55-74 anios,21.03
1996,Republic of Korea,75+ anios,35.28
1996,Romania,05-14 anios,0.52
1996,Romania,15-24 anios,7.14
1996,Romania,25-34 anios,10.68
1996,Romania,35-54 anios,21.31
1996,Romania,55-74 anios,18.24
1996,Romania,75+ anios,17.62
1996,Russian Federation,05-14 anios,1.73
1996,Russian Federation,15-24 anios,31.58
1996,Russian Federation,25-34 anios,50.43
1996,Russian Federation,35-54 anios,58.6
1996,Russian Federation,55-74 anios,48.36
1996,Russian Federation,75+ anios,46.51
1996,Saint Lucia,05-14 anios,0
1996,Saint Lucia,15-24 anios,7.29
1996,Saint Lucia,25-34 anios,8.44
1996,Saint Lucia,35-54 anios,7.48
1996,Saint Lucia,55-74 anios,6.97
1996,Saint Lucia,75+ anios,0
1996,Saint Vincent and Grenadines,05-14 anios,0
1996,Saint Vincent and Grenadines,15-24 anios,4.48
1996,Saint Vincent and Grenadines,25-34 anios,22.79
1996,Saint Vincent and Grenadines,35-54 anios,16.05
1996,Saint Vincent and Grenadines,55-74 anios,0
1996,Saint Vincent and Grenadines,75+ anios,0
1996,Singapore,05-14 anios,0.89
1996,Singapore,15-24 anios,5.99
1996,Singapore,25-34 anios,8.91
